Sin título1.acq
Gráfico creado el:2026-06-19 15:39:43.750
Registro en:2026-06-19 17:09:16.427
1 mseg/muestras
2 canales
ECG (.05 - 150 Hz)
mV
EEG (.5 - 100 Hz, con Filtro Red) 
micro V
min	CH1	CH2	
	144925 samples	144925 samples	
0.00826667	0.00762939	34.8816	
0.00828333	-0.078125	31.7078	
0.0083	-0.150452	21.7743	
0.00831667	-0.216064	8.65173	
0.00833333	-0.292969	8.42285	
0.00835	-0.376587	23.3612	
0.00836667	-0.456848	40.9393	
0.00838333	-0.513611	53.0243	
0.0084	-0.532532	55.603	
0.00841667	-0.524902	46.9513	
0.00843333	-0.50293	32.0435	
0.00845	-0.472717	22.0795	
0.00846667	-0.441589	26.6571	
0.00848333	-0.41626	34.7595	
0.0085	-0.396729	42.2974	
0.00851667	-0.382996	50.7355	
0.00853333	-0.377502	56.8085	
0.00855	-0.376282	58.9142	
0.00856667	-0.377502	55.5267	
0.00858333	-0.379333	43.2434	
0.0086	-0.384521	29.5563	
0.00861667	-0.38269	30.1361	
0.00863333	-0.373535	42.2668	
0.00865	-0.354004	54.9622	
0.00866667	-0.319214	62.3627	
0.00868333	-0.276184	62.7289	
0.0087	-0.230713	53.8635	
0.00871667	-0.182495	41.0156	
0.00873333	-0.139771	33.905	
0.00875	-0.113525	37.3688	
0.00876667	-0.0958252	41.5039	
0.00878333	-0.0869751	45.3339	
0.0088	-0.0750732	50.7965	
0.00881667	-0.0567627	54.718	
0.00883333	-0.0350952	54.8096	
0.00885	-0.0210571	48.8586	
0.00886667	-0.0189209	35.6598	
0.00888333	-0.0238037	25.5737	
0.0089	-0.0283813	30.4718	
0.00891667	-0.0286865	42.7246	
0.00893333	-0.0213623	51.4069	
0.00895	-0.00793457	55.2521	
0.00896667	0.00915527	51.1932	
0.00898333	0.0274658	38.2843	
0.009	0.0445557	26.5961	
0.00901667	0.0595093	25.8026	
0.00903333	0.0747681	33.0963	
0.00905	0.0878906	39.1998	
0.00906667	0.09552	43.7164	
0.00908333	0.0961304	48.4772	
0.0091	0.0967407	51.2695	
0.00911667	0.0991821	48.5535	
0.00913333	0.0985718	38.3759	
0.00915	0.0921631	24.1089	
0.00916667	0.0784302	20.0195	
0.00918333	0.0650024	29.5258	
0.0092	0.0598145	42.038	
0.00921667	0.0643921	51.0864	
0.00923333	0.072937	56.1218	
0.00925	0.0857544	52.5208	
0.00926667	0.0982666	40.0085	
0.00928333	0.106812	29.0222	
0.0093	0.112915	30.9448	
0.00931667	0.113831	37.4451	
0.00933333	0.108337	42.7399	
0.00935	0.102844	48.0042	
0.00936667	0.101929	50.766	
0.00938333	0.0976563	51.2848	
0.0094	0.0909424	45.9442	
0.00941667	0.0866699	32.1655	
0.00943333	0.0769043	19.8975	
0.00945	0.0650024	23.0865	
0.00946667	0.0579834	35.8276	
0.00948333	0.0579834	46.4325	
0.0095	0.0674438	50.8575	
0.00951667	0.0848389	49.4385	
0.00953333	0.104065	40.0391	
0.00955	0.118103	26.1688	
0.00956667	0.124207	17.9443	
0.00958333	0.130615	21.1182	
0.0096	0.137634	25.9552	
0.00961667	0.144043	30.5939	
0.00963333	0.151367	35.8887	
0.00965	0.154114	40.1459	
0.00966667	0.152893	41.2292	
0.00968333	0.145264	34.8206	
0.0097	0.130615	21.9269	
0.00971667	0.105591	15.8081	
0.00973333	0.0787354	26.0773	
0.00975	0.0643921	40.7104	
0.00976667	0.06073	46.463	
0.00978333	0.0564575	45.9747	
0.0098	0.0601196	41.748	
0.00981667	0.0732422	31.2958	
0.00983333	0.0869751	20.3705	
0.00985	0.0964355	21.9269	
0.00986667	0.107727	32.3181	
0.00988333	0.119324	41.5192	
0.0099	0.125427	48.3398	
0.00991667	0.126038	51.8799	
0.00993333	0.122375	51.9714	
0.00995	0.122681	47.9126	
0.00996667	0.123901	39.3829	
0.00998333	0.119324	27.6947	
0.01	0.104675	25.6805	
0.0100167	0.0933838	35.7666	
0.0100333	0.0912476	46.6461	
0.01005	0.0967407	53.2074	
0.0100667	0.108948	56.3049	
0.0100833	0.123901	51.8188	
0.0101	0.139465	40.5731	
0.0101167	0.156555	30.9906	
0.0101333	0.170898	33.4473	
0.01015	0.183716	39.0167	
0.0101667	0.191956	42.038	
0.0101833	0.188904	46.7377	
0.0102	0.178223	51.5442	
0.0102167	0.167236	54.0619	
0.0102333	0.159302	52.063	
0.01025	0.150146	43.3502	
0.0102667	0.134277	32.6538	
0.0102833	0.110168	33.0505	
0.0103	0.0839233	44.0674	
0.0103167	0.0656128	54.3671	
